Year,Сomponent of the index,Region,Age,Gender,Value
2021,cooperation in the community,Luhansk,60 years and older,,5.6
2022,cooperation in the community,Luhansk,60 years and older,,
2023,cooperation in the community,Luhansk,60 years and older,,
2017,cooperation in the community,Luhansk,,men,
2018,cooperation in the community,Luhansk,,men,
2019,cooperation in the community,Luhansk,,men,5.1
2020,cooperation in the community,Luhansk,,men,
2021,cooperation in the community,Luhansk,,men,5.4
2022,cooperation in the community,Luhansk,,men,
2023,cooperation in the community,Luhansk,,men,
2017,cooperation in the community,Luhansk,,women,
2018,cooperation in the community,Luhansk,,women,
2019,cooperation in the community,Luhansk,,women,5.7
2020,cooperation in the community,Luhansk,,women,
2021,cooperation in the community,Luhansk,,women,5.6
2022,cooperation in the community,Luhansk,,women,
2023,cooperation in the community,Luhansk,,women,
2017,cooperation in the community,Dnipropetrovsk,,,
2018,cooperation in the community,Dnipropetrovsk,,,
2019,cooperation in the community,Dnipropetrovsk,,,
2020,cooperation in the community,Dnipropetrovsk,,,
2021,cooperation in the community,Dnipropetrovsk,,,
2022,cooperation in the community,Dnipropetrovsk,,,
2023,cooperation in the community,Dnipropetrovsk,,,
2017,cooperation in the community,Dnipropetrovsk,18-35 years,,
2018,cooperation in the community,Dnipropetrovsk,18-35 years,,
2019,cooperation in the community,Dnipropetrovsk,18-35 years,,
2020,cooperation in the community,Dnipropetrovsk,18-35 years,,
2021,cooperation in the community,Dnipropetrovsk,18-35 years,,
2022,cooperation in the community,Dnipropetrovsk,18-35 years,,
2023,cooperation in the community,Dnipropetrovsk,18-35 years,,
2017,cooperation in the community,Dnipropetrovsk,36-60 years,,
2018,cooperation in the community,Dnipropetrovsk,36-60 years,,
2019,cooperation in the community,Dnipropetrovsk,36-60 years,,
2020,cooperation in the community,Dnipropetrovsk,36-60 years,,
2021,cooperation in the community,Dnipropetrovsk,36-59 years,,
2022,cooperation in the community,Dnipropetrovsk,36-59 years,,
2023,cooperation in the community,Dnipropetrovsk,36-59 years,,
2017,cooperation in the community,Dnipropetrovsk,61 years and older,,
2018,cooperation in the community,Dnipropetrovsk,61 years and older,,
2019,cooperation in the community,Dnipropetrovsk,61 years and older,,
2020,cooperation in the community,Dnipropetrovsk,61 years and older,,
2021,cooperation in the community,Dnipropetrovsk,60 years and older,,
2022,cooperation in the community,Dnipropetrovsk,60 years and older,,
2023,cooperation in the community,Dnipropetrovsk,60 years and older,,
2017,cooperation in the community,Dnipropetrovsk,,men,
2018,cooperation in the community,Dnipropetrovsk,,men,
2019,cooperation in the community,Dnipropetrovsk,,men,
2020,cooperation in the community,Dnipropetrovsk,,men,
2021,cooperation in the community,Dnipropetrovsk,,men,
2022,cooperation in the community,Dnipropetrovsk,,men,
2023,cooperation in the community,Dnipropetrovsk,,men,
2017,cooperation in the community,Dnipropetrovsk,,women,
2018,cooperation in the community,Dnipropetrovsk,,women,
2019,cooperation in the community,Dnipropetrovsk,,women,
2020,cooperation in the community,Dnipropetrovsk,,women,
2021,cooperation in the community,Dnipropetrovsk,,women,
2022,cooperation in the community,Dnipropetrovsk,,women,
2023,cooperation in the community,Dnipropetrovsk,,women,
2017,cooperation in the community,Zaporizhzhya,,,
2018,cooperation in the community,Zaporizhzhya,,,
2019,cooperation in the community,Zaporizhzhya,,,
2020,cooperation in the community,Zaporizhzhya,,,
2021,cooperation in the community,Zaporizhzhya,,,
2022,cooperation in the community,Zaporizhzhya,,,
2023,cooperation in the community,Zaporizhzhya,,,
2017,cooperation in the community,Zaporizhzhya,18-35 years,,
2018,cooperation in the community,Zaporizhzhya,18-35 years,,
2019,cooperation in the community,Zaporizhzhya,18-35 years,,
2020,cooperation in the community,Zaporizhzhya,18-35 years,,
2021,cooperation in the community,Zaporizhzhya,18-35 years,,
2022,cooperation in the community,Zaporizhzhya,18-35 years,,
2023,cooperation in the community,Zaporizhzhya,18-35 years,,
2017,cooperation in the community,Zaporizhzhya,36-60 years,,
2018,cooperation in the community,Zaporizhzhya,36-60 years,,
2019,cooperation in the community,Zaporizhzhya,36-60 years,,
2020,cooperation in the community,Zaporizhzhya,36-60 years,,
2021,cooperation in the community,Zaporizhzhya,36-59 years,,
2022,cooperation in the community,Zaporizhzhya,36-59 years,,
2023,cooperation in the community,Zaporizhzhya,36-59 years,,
2017,cooperation in the community,Zaporizhzhya,61 years and older,,
2018,cooperation in the community,Zaporizhzhya,61 years and older,,
2019,cooperation in the community,Zaporizhzhya,61 years and older,,
2020,cooperation in the community,Zaporizhzhya,61 years and older,,
2021,cooperation in the community,Zaporizhzhya,60 years and older,,
2022,cooperation in the community,Zaporizhzhya,60 years and older,,
2023,cooperation in the community,Zaporizhzhya,60 years and older,,
2017,cooperation in the community,Zaporizhzhya,,men,
2018,cooperation in the community,Zaporizhzhya,,men,
2019,cooperation in the community,Zaporizhzhya,,men,
2020,cooperation in the community,Zaporizhzhya,,men,
2021,cooperation in the community,Zaporizhzhya,,men,
2022,cooperation in the community,Zaporizhzhya,,men,
2023,cooperation in the community,Zaporizhzhya,,men,
2017,cooperation in the community,Zaporizhzhya,,women,
2018,cooperation in the community,Zaporizhzhya,,women,
2019,cooperation in the community,Zaporizhzhya,,women,
2020,cooperation in the community,Zaporizhzhya,,women,
2021,cooperation in the community,Zaporizhzhya,,women,
2022,cooperation in the community,Zaporizhzhya,,women,
2023,cooperation in the community,Zaporizhzhya,,women,
2017,cooperation in the community,Kharkiv,,,
2018,cooperation in the community,Kharkiv,,,
2019,cooperation in the community,Kharkiv,,,
2020,cooperation in the community,Kharkiv,,,
2021,cooperation in the community,Kharkiv,,,
2022,cooperation in the community,Kharkiv,,,
2023,cooperation in the community,Kharkiv,,,
2017,cooperation in the community,Kharkiv,18-35 years,,
2018,cooperation in the community,Kharkiv,18-35 years,,
2019,cooperation in the community,Kharkiv,18-35 years,,
2020,cooperation in the community,Kharkiv,18-35 years,,
2021,cooperation in the community,Kharkiv,18-35 years,,
2022,cooperation in the community,Kharkiv,18-35 years,,
2023,cooperation in the community,Kharkiv,18-35 years,,
2017,cooperation in the community,Kharkiv,36-60 years,,
2018,cooperation in the community,Kharkiv,36-60 years,,
2019,cooperation in the community,Kharkiv,36-60 years,,
2020,cooperation in the community,Kharkiv,36-60 years,,
2021,cooperation in the community,Kharkiv,36-59 years,,
2022,cooperation in the community,Kharkiv,36-59 years,,
2023,cooperation in the community,Kharkiv,36-59 years,,
2017,cooperation in the community,Kharkiv,61 years and older,,
2018,cooperation in the community,Kharkiv,61 years and older,,
2019,cooperation in the community,Kharkiv,61 years and older,,
2020,cooperation in the community,Kharkiv,61 years and older,,
2021,cooperation in the community,Kharkiv,60 years and older,,
2022,cooperation in the community,Kharkiv,60 years and older,,
2023,cooperation in the community,Kharkiv,60 years and older,,
2017,cooperation in the community,Kharkiv,,men,
2018,cooperation in the community,Kharkiv,,men,
2019,cooperation in the community,Kharkiv,,men,
2020,cooperation in the community,Kharkiv,,men,
2021,cooperation in the community,Kharkiv,,men,
2022,cooperation in the community,Kharkiv,,men,
2023,cooperation in the community,Kharkiv,,men,
2017,cooperation in the community,Kharkiv,,women,
2018,cooperation in the community,Kharkiv,,women,
2019,cooperation in the community,Kharkiv,,women,
2020,cooperation in the community,Kharkiv,,women,
2021,cooperation in the community,Kharkiv,,women,
2022,cooperation in the community,Kharkiv,,women,
2023,cooperation in the community,Kharkiv,,women,
2017,political security,Donetsk,,,
2018,political security,Donetsk,,,
2019,political security,Donetsk,,,
2020,political security,Donetsk,,,
2021,political security,Donetsk,,,4.8
2022,political security,Donetsk,,,
2023,political security,Donetsk,,,
2017,political security,Donetsk,18-35 years,,
2018,political security,Donetsk,18-35 years,,
2019,political security,Donetsk,18-35 years,,5.1
2020,political security,Donetsk,18-35 years,,
2021,political security,Donetsk,18-35 years,,5.1
2022,political security,Donetsk,18-35 years,,
2023,political security,Donetsk,18-35 years,,
2017,political security,Donetsk,36-60 years,,
2018,political security,Donetsk,36-60 years,,
2019,political security,Donetsk,36-60 years,,4.8
2020,political security,Donetsk,36-60 years,,
2021,political security,Donetsk,36-59 years,,4.6
2022,political security,Donetsk,36-59 years,,
2023,political security,Donetsk,36-59 years,,
2017,political security,Donetsk,61 years and older,,
2018,political security,Donetsk,61 years and older,,
2019,political security,Donetsk,61 years and older,,4.8
2020,political security,Donetsk,61 years and older,,
2021,political security,Donetsk,60 years and older,,4.6
2022,political security,Donetsk,60 years and older,,
2023,political security,Donetsk,60 years and older,,
2017,political security,Donetsk,,men,
2018,political security,Donetsk,,men,
2019,political security,Donetsk,,men,5.2
2020,political security,Donetsk,,men,
2021,political security,Donetsk,,men,5.0
2022,political security,Donetsk,,men,
2023,political security,Donetsk,,men,
2017,political security,Donetsk,,women,
2018,political security,Donetsk,,women,
2019,political security,Donetsk,,women,4.6
2020,political security,Donetsk,,women,
2021,political security,Donetsk,,women,4.6
2022,political security,Donetsk,,women,
2023,political security,Donetsk,,women,
2017,political security,Luhansk,,,
2018,political security,Luhansk,,,
2019,political security,Luhansk,,,
2020,political security,Luhansk,,,
2021,political security,Luhansk,,,4.5
2022,political security,Luhansk,,,
2023,political security,Luhansk,,,
2017,political security,Luhansk,18-35 years,,
2018,political security,Luhansk,18-35 years,,
2019,political security,Luhansk,18-35 years,,4.7
2020,political security,Luhansk,18-35 years,,
2021,political security,Luhansk,18-35 years,,5.1
2022,political security,Luhansk,18-35 years,,
2023,political security,Luhansk,18-35 years,,
2017,political security,Luhansk,36-60 years,,
2018,political security,Luhansk,36-60 years,,
2019,political security,Luhansk,36-60 years,,4.6
2020,political security,Luhansk,36-60 years,,
2021,political security,Luhansk,36-59 years,,4.3
2022,political security,Luhansk,36-59 years,,
2023,political security,Luhansk,36-59 years,,
2017,political security,Luhansk,61 years and older,,
2018,political security,Luhansk,61 years and older,,
2019,political security,Luhansk,61 years and older,,4.4
2020,political security,Luhansk,61 years and older,,
2021,political security,Luhansk,60 years and older,,4.3
2022,political security,Luhansk,60 years and older,,
2023,political security,Luhansk,60 years and older,,
2017,political security,Luhansk,,men,
2018,political security,Luhansk,,men,
2019,political security,Luhansk,,men,5.0
2020,political security,Luhansk,,men,
2021,political security,Luhansk,,men,4.8
2022,political security,Luhansk,,men,
2023,political security,Luhansk,,men,
2017,political security,Luhansk,,women,
2018,political security,Luhansk,,women,
2019,political security,Luhansk,,women,4.3
2020,political security,Luhansk,,women,
2021,political security,Luhansk,,women,4.2
2022,political security,Luhansk,,women,
2023,political security,Luhansk,,women,
2017,political security,Dnipropetrovsk,,,
2018,political security,Dnipropetrovsk,,,
2019,political security,Dnipropetrovsk,,,
2020,political security,Dnipropetrovsk,,,
2021,political security,Dnipropetrovsk,,,
2022,political security,Dnipropetrovsk,,,
2023,political security,Dnipropetrovsk,,,
2017,political security,Dnipropetrovsk,18-35 years,,
2018,political security,Dnipropetrovsk,18-35 years,,
2019,political security,Dnipropetrovsk,18-35 years,,
2020,political security,Dnipropetrovsk,18-35 years,,
2021,political security,Dnipropetrovsk,18-35 years,,
2022,political security,Dnipropetrovsk,18-35 years,,
2023,political security,Dnipropetrovsk,18-35 years,,
2017,political security,Dnipropetrovsk,36-60 years,,
2018,political security,Dnipropetrovsk,36-60 years,,
2019,political security,Dnipropetrovsk,36-60 years,,
2020,political security,Dnipropetrovsk,36-60 years,,
2021,political security,Dnipropetrovsk,36-59 years,,
2022,political security,Dnipropetrovsk,36-59 years,,
2023,political security,Dnipropetrovsk,36-59 years,,
2017,political security,Dnipropetrovsk,61 years and older,,
2018,political security,Dnipropetrovsk,61 years and older,,
2019,political security,Dnipropetrovsk,61 years and older,,
2020,political security,Dnipropetrovsk,61 years and older,,
2021,political security,Dnipropetrovsk,60 years and older,,
2022,political security,Dnipropetrovsk,60 years and older,,
2023,political security,Dnipropetrovsk,60 years and older,,
2017,political security,Dnipropetrovsk,,men,
2018,political security,Dnipropetrovsk,,men,
2019,political security,Dnipropetrovsk,,men,
2020,political security,Dnipropetrovsk,,men,
2021,political security,Dnipropetrovsk,,men,
2022,political security,Dnipropetrovsk,,men,
2023,political security,Dnipropetrovsk,,men,
2017,political security,Dnipropetrovsk,,women,
2018,political security,Dnipropetrovsk,,women,
2019,political security,Dnipropetrovsk,,women,
2020,political security,Dnipropetrovsk,,women,
2021,political security,Dnipropetrovsk,,women,
2022,political security,Dnipropetrovsk,,women,
2023,political security,Dnipropetrovsk,,women,
2017,political security,Zaporizhzhya,,,
2018,political security,Zaporizhzhya,,,
2019,political security,Zaporizhzhya,,,
2020,political security,Zaporizhzhya,,,
2021,political security,Zaporizhzhya,,,
2022,political security,Zaporizhzhya,,,
2023,political security,Zaporizhzhya,,,
2017,political security,Zaporizhzhya,18-35 years,,
2018,political security,Zaporizhzhya,18-35 years,,
2019,political security,Zaporizhzhya,18-35 years,,
2020,political security,Zaporizhzhya,18-35 years,,
2021,political security,Zaporizhzhya,18-35 years,,
2022,political security,Zaporizhzhya,18-35 years,,
2023,political security,Zaporizhzhya,18-35 years,,
2017,political security,Zaporizhzhya,36-60 years,,
2018,political security,Zaporizhzhya,36-60 years,,
2019,political security,Zaporizhzhya,36-60 years,,
2020,political security,Zaporizhzhya,36-60 years,,
2021,political security,Zaporizhzhya,36-59 years,,
2022,political security,Zaporizhzhya,36-59 years,,
2023,political security,Zaporizhzhya,36-59 years,,
2017,political security,Zaporizhzhya,61 years and older,,
2018,political security,Zaporizhzhya,61 years and older,,
2019,political security,Zaporizhzhya,61 years and older,,
2020,political security,Zaporizhzhya,61 years and older,,
2021,political security,Zaporizhzhya,60 years and older,,
2022,political security,Zaporizhzhya,60 years and older,,
2023,political security,Zaporizhzhya,60 years and older,,
2017,political security,Zaporizhzhya,,men,
2018,political security,Zaporizhzhya,,men,
2019,political security,Zaporizhzhya,,men,
2020,political security,Zaporizhzhya,,men,
2021,political security,Zaporizhzhya,,men,
2022,political security,Zaporizhzhya,,men,
2023,political security,Zaporizhzhya,,men,
2017,political security,Zaporizhzhya,,women,
2018,political security,Zaporizhzhya,,women,
2019,political security,Zaporizhzhya,,women,
2020,political security,Zaporizhzhya,,women,
2021,political security,Zaporizhzhya,,women,
2022,political security,Zaporizhzhya,,women,
2023,political security,Zaporizhzhya,,women,
2017,political security,Kharkiv,,,
2018,political security,Kharkiv,,,
2019,political security,Kharkiv,,,
2020,political security,Kharkiv,,,
2021,political security,Kharkiv,,,
2022,political security,Kharkiv,,,
2023,political security,Kharkiv,,,
2017,political security,Kharkiv,18-35 years,,
2018,political security,Kharkiv,18-35 years,,
2019,political security,Kharkiv,18-35 years,,
2020,political security,Kharkiv,18-35 years,,
2021,political security,Kharkiv,18-35 years,,
2022,political security,Kharkiv,18-35 years,,
2023,political security,Kharkiv,18-35 years,,
2017,political security,Kharkiv,36-60 years,,
2018,political security,Kharkiv,36-60 years,,
2019,political security,Kharkiv,36-60 years,,
